name,year,selling_price,km_driven
Maruti Alto LXi,2006,75000,80000
Tata Indica GLS BS IV,2010,99000,70000
Maruti S-Cross Zeta DDiS 200 SH,2018,1015000,20000
Mahindra Xylo D4 BSIV,2013,250000,200000
Toyota Innova Crysta 2.5 VX BS IV,2011,520000,120000
Hyundai Verna CRDi 1.6 AT SX Option,2018,1100000,30000
Toyota Innova 2.5 V Diesel 7-seater,2005,200000,223000
Maruti Swift Dzire VDI,2016,525000,60000
Hyundai i20 Asta 1.2,2016,500000,40000
Mahindra Scorpio S2 7 Seater,2016,675000,161327
Hyundai i10 Magna 1.2 iTech SE,2009,150000,60000
Mahindra Bolero DI,2007,250000,50000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,450000,6000
Hyundai Santro Xing XS,2009,150000,68000
Chevrolet Beat Diesel LS,2012,200000,85000
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,525000,70000
Maruti Esteem VX,1999,60000,35000
Maruti Swift Vdi BSIII,2010,180000,100000
Honda Amaze S i-Dtech,2015,475000,110000
Mahindra Scorpio VLS AT 2.2 mHAWK,2010,380000,195000
Maruti Alto 800 LXI,2015,285000,46000
Maruti Alto LXi BSIII,2008,91200,60000
Datsun RediGO T Option,2017,250000,46000
Hyundai Grand i10 CRDi Sportz,2015,400000,42000
Hyundai Santro Xing XG AT,2006,160000,90000
Skoda Yeti Ambition 4X2,2012,650000,85000
Hyundai Verna 1.6 SX,2012,409999,120000
Ford Ecosport 1.5 DV5 MT Titanium,2013,425000,72000
Maruti Wagon R LXI CNG,2013,250000,71000
Maruti Swift Dzire VXi,2009,200000,110000
Maruti Wagon R LXI CNG,2013,250000,71000
Volkswagen Polo Diesel Trendline 1.2L,2010,130000,144000
Maruti Eeco 5 Seater AC BSIV,2017,260000,30000
Hyundai Verna SX,2007,155000,65000
Honda Jazz 1.5 VX i DTEC,2015,450000,38000
Maruti SX4 Celebration Petrol,2012,220000,90000
Hyundai i20 Active S Diesel,2018,650000,37000
Maruti Alto 800 LXI,2018,285000,30000
Honda Amaze V CVT Petrol BSIV,2018,725000,26000
Maruti Ciaz ZXi,2016,625000,30000
Hyundai i20 Active SX Petrol,2016,550000,23000
Hyundai i10 Magna,2012,240000,40000
Nissan Terrano XL 85 PS,2014,600000,27000
Tata New Safari DICOR 2.2 EX 4x2,2012,350000,65000
Hyundai EON Magna Plus,2015,245000,32000
Mahindra Bolero B6,2016,600000,56000
BMW X1 sDrive 20d xLine,2017,2400000,30000
Mahindra Scorpio SLE BS IV,2014,620000,80000
Maruti Swift Dzire 1.2 Vxi BSIV,2014,395000,52000
Maruti Ertiga ZXI,2014,635000,13250
Maruti Alto LX,2011,180000,36000
Maruti Swift ZDI Plus,2015,484999,73000
Maruti Alto LX,2004,110000,60000
Maruti Wagon R VXI BSIII,2006,150000,60000
Chevrolet Tavera Neo 2 LT L 9 Str,2012,400000,110000
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,200000,70000
Renault Duster 85PS Diesel RxL Plus,2013,302000,60000
Maruti Swift Dzire Vdi BSIV,2011,215000,90000
Maruti Wagon R VXI BSIII,2004,155000,80000
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,1000000,101000
Mahindra Bolero Power Plus SLX,2018,550000,44000
Maruti Swift 1.3 VXi,2006,200000,45000
Mahindra Scorpio S2 7 Seater,2017,750000,120000
Maruti Zen LXI,2005,90000,90000
Maruti Wagon R LXI Minor,2007,80000,120000
Hyundai EON D Lite Plus,2013,229999,13500
Renault KWID 1.0 RXT Optional,2017,350000,10000
Hyundai Grand i10 Magna,2015,325000,25000
Tata Tigor 1.2 Revotron XT,2018,450000,8500
Maruti SX4 Celebration Diesel,2012,250000,120000
Volkswagen Polo Diesel Comfortline 1.2L,2012,225000,120000
Maruti Alto LXi,2009,150000,90246
Maruti Alto LX BSIII,2008,110000,90000
Maruti Alto LXi BSIII,2010,150000,40000
Maruti Gypsy King Hard Top,2000,165000,60000
Renault Duster 85PS Diesel RxL,2017,610000,32000
Tata Manza Club Class Quadrajet90 VX,2013,170000,60400
Hyundai Verna CRDi,2008,150000,70950
Hyundai i20 Asta 1.4 CRDi,2013,300000,90000
Hyundai Xcent 1.1 CRDi Base,2015,375000,72000
Maruti Swift VDI,2013,390000,90000
Hyundai i20 Active 1.2 S,2017,600000,10000
Maruti Alto 800 LXI,2014,204999,25000
Hyundai Verna CRDi,2009,270000,80000
Hyundai Grand i10 Sportz,2017,375000,10000
Maruti Baleno Zeta,2020,700000,1100
Maruti Swift VXI Deca,2017,455000,40000
Hyundai i10 Sportz 1.1L,2017,375000,10000
Hyundai Grand i10 Asta,2014,341000,31491
Maruti Swift Dzire VDI,2014,200000,107143
Maruti Ignis 1.2 AMT Delta BSIV,2017,450000,15000
Hyundai Santro Xing GL Plus,2012,170000,50000
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,1900000,100000
Mahindra Bolero Power Plus LX,2016,500000,60000
Maruti Vitara Brezza ZDi Plus,2016,819999,85000
Maruti Swift 1.2 DLX,2014,351000,40000
Hyundai i10 Magna 1.2 iTech SE,2011,195000,80000
Maruti Swift Dzire VDi,2008,250000,82000
Maruti Zen Estilo 1.1 VXI BSIII,2008,120000,70000
Maruti A-Star Vxi,2009,180000,70000
Mahindra KUV 100 mFALCON D75 K6,2016,430000,20000
Tata Nano Cx BSIV,2012,75000,35000
Mahindra Xylo D4,2017,750000,80000
Tata Nano Lx,2011,60000,40000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,1500000,46412
Mahindra Bolero SLX 2WD BSIII,2011,390000,150000
Mahindra TUV 300 T4,2016,630000,50000
Tata Safari Storme VX Varicor 400,2018,1085000,15000
Hyundai i10 Magna 1.2 iTech SE,2012,190000,60000
Maruti Baleno Delta Automatic,2018,550000,25000
Maruti Alto 800 LXI,2012,200000,90000
Chevrolet Spark 1.0 LT,2011,165000,60000
Ford Figo Diesel Celebration Edition,2013,260000,65000
Maruti Alto LX,2011,151000,40000
Maruti Vitara Brezza VDi,2018,780000,50000
Tata Indica Vista Quadrajet LX,2012,175000,80000
Tata Indica Vista TDI LS,2010,170000,107500
Tata Indica Vista TDI LS,2013,210000,135000
Maruti Alto LXi,2007,90000,43826
Hyundai i20 Active S Petrol,2016,535000,55838
Maruti Swift VDI BSIV,2007,195000,112880
Tata Indica Vista Terra Quadrajet 1.3L,2011,140000,90000
Nissan Sunny XL,2012,350000,40000
Hyundai Verna 1.6 SX VTVT (O),2013,425000,66000
Renault KWID 1.0 RXT Optional,2017,300000,30300
Volkswagen Vento Diesel Style Limited Edition,2013,340000,85000
Maruti Swift Dzire VXi,2009,250000,80659
Chevrolet Aveo 1.4 LS,2008,170000,81324
Honda Amaze S i-Dtech,2013,315000,127884
Chevrolet Beat PS,2015,200000,50000
Chevrolet Beat PS,2016,300000,25000
Honda Amaze S i-Dtech,2015,300000,66755
Honda City E,2013,380000,123084
Maruti Swift VXI BSIII,2009,250000,806599
Honda Amaze S i-Dtech,2013,310000,95851
Maruti Wagon R VXI Minor ABS,2010,260000,50000
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,150000,50000
Maruti Esteem Vxi - BSIII,2006,85000,60000
Maruti Alto 800 LXI,2015,280000,15000
Mahindra Xylo H4 ABS,2016,850000,40000
Datsun GO Plus T Option BSIV,2017,375000,20000
Hyundai Elantra CRDi (Leather Option),2006,125000,120000
Chevrolet Beat Diesel LT,2012,250000,110000
Toyota Corolla Altis D-4D J,2014,715000,234000
Hyundai i20 1.4 CRDi Era,2011,220000,70000
Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,110000
Hyundai Verna XXi (Petrol),2007,150000,84000
Nissan Sunny Diesel XV,2012,300000,170000
Datsun RediGO T Option,2017,220000,40000
Maruti Wagon R LX,2006,75000,96000
Tata Indigo LS,2009,100000,20000
Ford Figo Aspire 1.2 Ti-VCT Trend,2016,380000,15000
Hyundai Santro Xing XK (Non-AC),2007,100000,50000
Volkswagen Passat 1.8 TSI MT,2010,480000,80000
Toyota Etios GD,2012,300000,124000
Chevrolet Beat Diesel LS,2013,190000,70000
Ford Figo Diesel LXI,2012,190000,130000
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,650000,19014
Toyota Corolla Executive (HE),2009,300000,23262
Ford Freestyle Titanium Diesel BSIV,2016,700000,29600
Hyundai i10 Sportz 1.1L,2015,310000,35925
Maruti Ignis 1.2 Zeta BSIV,2018,500000,12000
Toyota Etios V,2013,415000,40771
Maruti Celerio VXI AT,2015,395000,30500
Toyota Etios Liva 1.2 G,2014,430000,42000
Toyota Corolla H6,2007,215000,55800
Renault Duster RXL AWD,2014,550000,66569
Volkswagen Polo 1.5 TDI Trendline,2014,415000,81358
Volkswagen Polo 1.5 TDI Comfortline,2015,450000,82695
Ford Figo Diesel EXI,2014,285000,68293
Honda Jazz VX CVT,2016,580000,32000
Maruti Swift Dzire Tour LDI,2014,300000,190621
Hyundai Verna CRDi 1.6 SX Option,2018,1200000,60000
Maruti 800 Std MPFi,2006,78000,64700
Maruti 800 AC,2002,65000,100000
Tata Zest Quadrajet 1.3 75PS XE,2016,400000,88470
Hyundai Verna 1.6 CRDI SX Option,2016,850000,75000
Volkswagen Vento Diesel Highline,2013,450000,120000
Mercedes-Benz E-Class E250 CDI Blue Efficiency,2012,2500000,35000
Toyota Etios 1.4 VXD,2017,780000,70000
Toyota Fortuner 2.8 2WD AT BSIV,2017,3200000,57000
Maruti Alto 800 VXI,2020,350000,1000
Mahindra Quanto C6,2013,285000,120000
Volkswagen Vento 1.5 TDI Highline,2015,525000,98000
Maruti Ciaz ZDi,2014,550000,90000
Volkswagen Ameo 1.5 TDI Comfortline,2018,580000,70000
Tata Nano CX SE,2013,75000,25000
Tata Manza Aura Quadrajet,2009,185000,60000
Maruti Omni E 8 Str STD,2007,110000,90000
Honda City 1.5 EXI,2004,180000,200000
Volkswagen Polo Diesel Comfortline 1.2L,2010,350000,110000
Chevrolet Optra 1.6 LS,2005,60000,126000
Mahindra TUV 300 T10,2018,695000,70000
Mahindra Alturas G4 4X2 AT BSIV,2019,2700000,5000
Maruti Zen Estilo LX BSIII,2007,135000,74183
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,640000,70000
Maruti Alto 800 VXI,2014,160000,90000
Tata Indica LXI,2004,80000,46000
Maruti Swift Dzire VDI,2013,340000,110000
Maruti Ritz VDi,2012,110000,80000
Tata Sumo Gold EX,2013,250000,90000
Toyota Innova Crysta 2.4 VX MT BSIV,2017,1300000,70000
Mahindra Quanto C6,2014,250000,1
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,450000,192000
Maruti Wagon R LX Minor,2013,240000,70000
Mahindra Bolero DI DX 7 Seater,2007,225000,120000
Maruti Wagon R VXI Optional,2015,275000,60000
Tata Sumo Victa CX 7/9 Str BSII,2012,320000,120000
Maruti Alto LX BSIII,2008,75000,120000
Tata Indica GLS BS IV,2007,85000,50000
Tata Indica Vista Aqua TDI BSIII,2009,90000,120000
Maruti Wagon R LXI Minor,2007,85000,80000
Mahindra Scorpio M2DI,2008,350000,80000
Skoda Superb Elegance 2.0 TDI CR AT,2009,355000,100000
Maruti Swift VXI,2020,619000,1500
Jeep Compass 2.0 Longitude Option BSIV,2018,1700000,50000
Tata Indica DL,2006,55000,100000
Ford Fiesta 1.6 ZXi Leather,2006,95000,83411
Volkswagen Vento Diesel Highline,2011,300000,120000
Ford Fiesta 1.6 ZXi Leather,2006,81000,83411
Skoda Superb Elegance 2.0 TDI CR AT,2015,1000000,80000
Maruti Ertiga VDI,2019,925000,50000
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,450000,40000
Mahindra Scorpio EX,2014,600000,13270
Hyundai Santro Xing XL AT eRLX Euro III,2006,85000,100000
Mahindra Thar DI 4X4 PS,2016,700000,50000
Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,486000,26500
Maruti Swift VDI,2013,400000,90000
Ford Fiesta 1.4 Duratec ZXI,2008,120000,100000
Maruti Alto 800 LXI,2018,275000,35000
Hyundai i20 Asta Option 1.4 CRDi,2016,580000,57000
Maruti Swift Dzire LXI,2015,375000,70000
Maruti Wagon R VXI BS IV with ABS,2015,229999,100000
Maruti Alto LX,2010,110000,88000
Maruti Swift Dzire VDI,2017,600000,60000
Maruti A-Star Vxi,2009,120000,76000
Ford Figo Diesel Titanium,2010,200000,100000
Hyundai Verna 1.6 SX CRDi (O),2012,450000,110000
Hyundai Verna 1.6 SX CRDi (O),2012,550000,80000
Maruti Alto LX,2012,220000,80000
Maruti 800 EX,2001,40000,30000
Renault KWID Climber 1.0 AMT,2017,300000,20000
Mahindra Bolero Power Plus SLE,2018,630000,40000
Maruti Swift Dzire VDI,2017,610000,40000
Hyundai Xcent 1.2 VTVT S,2019,660000,7000
Maruti Wagon R LXI LPG BSIV,2012,220000,80000
Nissan Micra Diesel XV Premium,2011,138000,90000
Nissan Micra Diesel XV Premium,2013,210000,13770
Maruti Zen LXi - BS III,2005,125000,34000
Maruti Alto LXi BSIII,2008,125000,102000
Honda City i DTEC SV,2014,725000,110000
Maruti Alto K10 2010-2014 VXI,2011,170000,90000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,1200000,70000
Maruti Wagon R VXI BSIII,2003,70000,90000
Maruti Alto LXi,2007,100000,70000
Honda Civic 1.8 (E) MT,2006,300000,80000
Maruti Swift VDI,2013,450000,100000
Maruti Swift Dzire VDI,2015,530000,100000
Maruti Zen Estilo 1.1 LXI BSIII,2007,100000,143000
Honda City 1.5 V MT,2010,350000,115000
Tata Manza ELAN Quadrajet BS IV,2011,165000,100000
Maruti Swift Dzire ZDI,2019,475000,120000
Mahindra Xylo E4 ABS BS IV,2013,350000,42000
Renault KWID RXL,2016,229999,38000
Honda WR-V i-DTEC VX,2018,800000,35000
Maruti Swift Dzire ZDI,2014,475000,120000
Nissan Terrano XL 110 PS,2014,425000,136906
Maruti Ciaz VDi Plus,2015,660000,97000
Honda Amaze S CVT Petrol,2019,610000,10000
Honda Brio S MT,2013,240000,50000
Maruti Esteem Lxi,2005,70000,60000
Toyota Corolla Altis Diesel D4DGL,2011,550000,120000
Tata Indica Vista Aura 1.2 Safire,2010,100000,120000
Mahindra Bolero SLE,2010,350000,90000
Hyundai EON Era Plus,2013,200000,120000
Hyundai Elite i20 Asta Option CVT BSIV,2019,720000,3000
Maruti Ritz VDi,2014,350000,133000
Maruti Wagon R VXI BS IV,2016,400000,25000
Hyundai i20 Active 1.2 S,2017,570000,35000
Maruti Omni MPI STD BSIV,2015,130000,70000
Maruti Alto 800 LXI,2016,210000,52000
Hyundai Creta 1.4 E Plus,2018,800000,52000
Honda Jazz 1.5 E i DTEC,2017,700000,39000
Tata Indica Vista Quadrajet VX,2011,200000,28689
Tata Aria Pure LX 4x2,2014,495000,90000
Ford Fiesta Classic 1.4 Duratorq CLXI,2014,325000,80322
Ford Freestyle Trend Petrol BSIV,2019,650000,8000
Mahindra Jeep MM 775 XDB,2000,155000,50000
Maruti 800 AC BSIII,2007,75000,90000
Hyundai Grand i10 1.2 CRDi Magna,2015,350000,61658
Maruti Zen Estilo LX BSIV,2010,90000,50000
Maruti Ertiga SHVS VDI,2016,600000,80000
Mahindra Scorpio SLE BSIII,2010,400000,185000
Maruti Swift VDI BSIV,2014,370000,57000
Maruti 800 DX,2000,50000,60000
Honda City 1.5 GXI,2004,125000,120000
Honda CR-V Diesel 4WD,2018,1800000,26000
Hyundai Grand i10 1.2 Kappa Magna AT,2019,650000,20000
Maruti Ertiga BSIV VXI AT,2017,800000,30600
Volkswagen Polo 1.0 TSI Highline Plus,2020,802000,5000
Audi A4 35 TDI Premium,2015,2300000,35000
Hyundai Xcent 1.1 CRDi SX,2016,430000,35000
Hyundai Verna 1.6 SX VTVT,2017,650000,23000
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2004,170000,120000
Skoda Superb Elegance 2.0 TDI CR AT,2011,450000,235000
Maruti Alto 800 LXI,2013,250000,87000
Ford Ecosport 1.0 Ecoboost Titanium,2014,550000,72000
Jaguar XF 3.0 Litre S Premium Luxury,2013,2000000,64000
Maruti Zen Estilo VXI BSIII,2007,140000,100000
Chevrolet Beat LT,2012,155000,12000
Hyundai Accent Executive,2010,120000,67000
Toyota Innova 2.5 E 8 STR,2012,287000,70000
Maruti Baleno Alpha 1.3,2016,675000,60000
Hyundai i10 Magna 1.2 iTech SE,2011,235000,74500
Hyundai i20 1.4 CRDi Asta,2011,300000,118700
Nissan Micra XL CVT,2015,434999,40000
Mahindra Scorpio VLX AT 2WD BSIII,2004,225000,223660
Toyota Corolla AE,2006,160000,140000
Hyundai Grand i10 Nios Sportz,2020,600000,5000
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2016,470000,100000
Maruti Swift Dzire VXi,2011,300000,100000
Maruti Baleno Delta 1.2,2018,600000,2000
Hyundai Grand i10 Nios AMT Magna,2020,640000,4000
Tata Indica DLS,2006,50000,120000
Hyundai Verna 1.6 VTVT S,2015,600000,35000
Hyundai i10 Magna LPG,2014,290000,29000
Hyundai Verna 1.6 VTVT S,2015,600000,30000
Tata Manza Aqua Quadrajet BS IV,2012,190000,120000
Hyundai i10 Era 1.1,2008,160000,110000
Maruti Alto K10 VXI,2017,325000,15000
Mahindra Bolero DI,2006,200000,73756
Toyota Fortuner 2.8 2WD AT BSIV,2018,2800000,40000
Chevrolet Spark 1.0 LS,2011,125000,60000
Hyundai i10 Magna 1.1,2008,155000,60000
Hyundai i20 Asta 1.4 CRDi,2015,550000,90000
Maruti Wagon R LX BSIII,2009,130000,70000
Maruti 800 AC,2002,80000,70000
Toyota Etios Cross 1.4L GD,2015,500000,80000
Renault KWID RXT BSIV,2019,250000,27000
Mahindra XUV500 W8 2WD,2012,580000,70000
Daewoo Matiz SD,2002,60000,50000
Toyota Etios GD,2012,300000,185000
Ford Figo Diesel Titanium,2014,200000,90000
Tata Hexa XT,2017,1200000,16400
Toyota Etios Cross 1.4L GD,2015,350000,80000
Mahindra XUV500 W8 4WD,2012,600000,80000
Honda Jazz V,2019,650000,4000
Maruti A-Star Lxi,2008,120000,40000
Tata New Safari DICOR 2.2 EX 4x2,2010,180000,120000
Hyundai Verna VTVT 1.6 AT SX Option,2018,950000,41395
Tata Manza Aura Quadrajet BS IV,2012,250999,35000
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000
Audi A8 L 3.0 TDI quattro,2009,1250000,47000
Chevrolet Beat LT,2013,165000,50000
Hyundai Elantra SX,2015,700000,48000
Mahindra XUV500 W8 4WD,2015,750000,53000
Mahindra Renault Logan 1.5 DLS,2008,89999,213000
Datsun redi-GO AMT 1.0 T Option,2018,290000,15000
Tata Nano Cx BSIII,2014,45000,7000
Skoda Superb Ambition 2.0 TDI CR AT,2013,675000,88000
Nissan Terrano XL Plus 85 PS,2015,530000,55000
BMW X1 sDrive20d M Sport,2014,1485000,48000
Chevrolet Enjoy TCDi LT 7 Seater,2014,325000,71014
Honda Amaze S Diesel,2015,400000,60000
Mahindra KUV 100 D75 K6 Plus,2017,380000,71000
Honda City i-VTEC CVT VX,2016,750000,45000
Honda Brio VX,2017,390000,45000
Maruti Alto LXi,2009,110000,20000
MG Hector Sharp Diesel MT BSIV,2019,1825000,14000
Audi A4 35 TDI Premium Plus,2019,3256000,17000
Renault Scala Diesel RxL,2015,370000,60000
Chevrolet Beat Diesel LT,2013,210000,80000
Skoda Laura Ambiente 1.9 PD,2007,175000,181000
Hyundai Verna 1.6 SX CRDi (O),2012,575000,89550
Mahindra Xylo D4,2010,320000,90000
Maruti Swift Ldi BSIV,2010,280000,149500
Renault Duster 85PS Diesel RxL Optional,2013,500000,190000
Ford Fiesta Diesel Style,2013,380000,83000
Maruti 800 AC BSIII,2005,120000,20000
Maruti Eeco 5 Seater AC BSIV,2018,395000,20000
Skoda Laura 1.9 TDI MT Ambiente,2010,360000,160000
Nissan Terrano XL Plus 85 PS,2015,451000,100000
Chevrolet Spark 1.0 LS,2010,175000,45000
Chevrolet Spark 1.0 LS,2009,170000,44800
Hyundai Santro Xing XL eRLX Euro III,2006,100000,40000
Maruti Omni MPI STD BSIV,2014,150000,120000
Tata Indica Vista Quadrajet LX,2011,149000,10000
Tata Indica Vista Aqua 1.3 Quadrajet,2011,160000,80000
Datsun GO Plus T Option Petrol,2018,434999,10000
Mahindra XUV500 W8 4WD,2014,800000,156000
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,2010,819999,120000
Maruti Baleno Vxi,2007,163000,100000
Mercedes-Benz E-Class 220 CDI,2001,350000,100000
Tata Indica GLS BS IV,2006,75000,100000
Maruti Alto LXi,2012,180000,60000
Ford Figo Aspire 1.5 TDCi Trend,2017,675000,30000
Maruti Swift VDI,2013,400000,170000
Volkswagen Polo Diesel Highline 1.2L,2013,434999,100000
Tata Indigo GLX,2006,100000,110000
Maruti Swift Dzire LDI Optional,2015,419000,170000
Tata Indica GLS BS IV,2009,200000,100000
Renault Scala Diesel RxL,2014,400000,35000
Ford EcoSport 1.5 Diesel Ambiente BSIV,2018,790000,40000
Renault Duster 85PS Diesel RxL Plus,2015,500000,90000
Skoda Rapid 1.6 TDI Elegance,2012,275000,120000
Hyundai i20 1.4 CRDi Sportz,2012,450000,120000
Mahindra XUV500 W11 Option AWD,2020,1400000,25000
Renault Duster 110PS Diesel RxL,2015,800000,15000
Maruti Wagon R VXI,2014,315000,41000
Maruti Baleno Alpha,2019,700000,16000
Mahindra Bolero SLX,2016,585000,51000
Chevrolet Sail 1.2 LT ABS,2014,350000,30000
Honda City i-DTEC SV,2014,495000,80000
Hyundai Grand i10 1.2 Kappa Asta,2017,500000,50000
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000,44000
Maruti Baleno Sigma 1.2,2015,500000,10000
Maruti Wagon R VXI,2016,360000,33000
Maruti Alto LXi BSIII,2010,210000,25000
Maruti Alto K10 LXI,2014,220000,66000
Chevrolet Aveo 1.4 LT BSIV,2009,250000,48000
Toyota Innova 2.5 G (Diesel) 8 Seater,2016,990000,146000
Mahindra Quanto C4,2013,220000,100000
Jaguar XF 3.0 Litre S Premium Luxury,2012,1800000,50000
Honda City i VTEC V,2014,530000,50000
Maruti Baleno Alpha 1.3,2016,575000,50000
Mahindra Xylo E4,2012,400000,99000
Honda Mobilio S i DTEC,2016,680000,50000
Hyundai Santa Fe 4WD AT,2014,1000000,80000
Maruti Alto 800 LXI,2016,260000,45000
Tata Manza Aura (ABS) Safire BS IV,2010,150000,50000
Maruti Alto LXi BSIII,2008,180000,70000
Force One EX,2014,346000,37516
Mahindra Xylo D2 BS IV,2015,450000,20000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,500000,5000
Hyundai Grand i10 1.2 CRDi Asta,2019,700000,8000
Maruti Alto 800 LXI,2019,280000,25880
Hyundai Santro Magna AMT BSIV,2019,475000,10000
Maruti Swift Dzire VDi,2009,300000,50000
Maruti Alto K10 LXI,2014,200999,40000
Skoda Laura 1.9 TDI MT Ambiente,2009,200000,100000
Chevrolet Aveo U-VA 1.2 LS,2009,210000,80000
Tata Indigo LS BSII,2012,160000,110000
Hyundai Verna CRDi SX ABS,2009,175000,136000
Tata New Safari DICOR 2.2 GX 4x2 BS IV,2012,320000,80000
Maruti Alto LXi,2009,110000,50000
Maruti Wagon R LXI Minor,2008,300000,30000
Honda City V MT,2012,700000,10000
Tata Indica Vista Aura 1.3 Quadrajet,2009,135000,90000
Mahindra Bolero Power Plus Plus Non AC BSIV PS,2015,500000,110000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2012,550000,120000
Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2014,1050000,90000
Honda City i VTEC V,2016,500000,20000
Maruti Ritz VDi,2011,180000,90000
Hyundai Santro Xing GLS,2010,170000,50000
Honda Brio 1.2 S Option MT,2019,484999,9000
Maruti A-Star Vxi,2011,150000,70000
Maruti Alto K10 VXI Airbag,2018,380000,25000
Hyundai Santro Sportz BSIV,2019,480000,10000
Tata Indica Vista Aura 1.3 Quadrajet,2009,135000,90000
Volkswagen Polo Diesel Highline 1.2L,2011,290000,60000
Fiat Linea Dynamic,2013,350000,70000
Maruti Alto 800 LXI,2014,110000,25000
Hyundai Santro LE zipPlus,2003,70000,80000
Volkswagen Vento Petrol Highline AT,2011,300000,70000
Maruti Alto 800 LX,2017,180000,60000
Renault KWID RXL,2020,300000,20000
Maruti Baleno Delta 1.2,2017,509000,60000
Maruti SX4 S Cross DDiS 320 Zeta,2016,650000,80000
Maruti Swift VDI BSIV,2015,450000,70000
Mahindra Jeep Classic,1999,170000,2020
Mahindra Scorpio 2.6 Turbo 7 Str,2007,210000,100000
Hyundai i20 Asta 1.4 CRDi,2013,360000,80000
Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,2011,495000,120000
Maruti Alto LX,2006,105000,100000
Hyundai i20 Magna,2010,270000,60000
Ford Figo Petrol LXI,2010,130000,110000
Honda City i DTEC S,2014,700000,90000
Chevrolet Cruze LTZ,2012,400000,40000
Maruti Swift ZXI ABS,2009,250000,60000
Honda Amaze VX i-DTEC,2013,325000,94000
Maruti Alto LXi,2008,69000,100000
Mahindra Scorpio S11 BSIV,2018,1380000,25000
Maruti Zen Estilo VXI BSIII,2007,90000,90000
Mahindra XUV500 W6 1.99 mHawk,2016,1000000,40000
Hyundai Accent GLE CNG,2010,145000,90000
Maruti Alto K10 LX,2020,250000,1100
Maruti Swift VDI,2011,256000,70000
Tata Indica DLS,2005,70000,120000
Maruti Wagon R VX,2000,50000,88500
Renault KWID RXT,2016,240000,70000
Tata Indica Vista Aqua 1.2 Safire BSIV,2010,97000,128000
Tata Indigo CR4,2012,130000,120000
Maruti Swift 1.3 VXi,2009,199000,52536
Honda Civic 1.8 S AT,2006,125000,70000
Hyundai Xcent 1.1 CRDi Base,2015,420000,60000
Mahindra NuvoSport N8,2016,525000,110000
Hyundai Santro Xing GLS,2008,125000,85000
Hyundai Verna Transform CRDi VGT SX ABS,2010,325000,135000
Volkswagen Vento New Diesel Highline,2012,330000,86000
Maruti Wagon R LXI BS IV,2010,110000,50000
Maruti S-Presso VXI Plus,2019,450000,1950
Maruti Swift 1.3 VXi,2005,85000,118400
Honda Civic 1.8 S MT,2007,229999,70000
Hyundai i10 Magna,2012,250000,60000
Ford Ecosport 1.5 DV5 MT Titanium,2015,650000,68000
Maruti Swift Dzire VDI,2017,600000,46507
Toyota Etios Liva 1.2 VX,2017,650000,6480
Maruti Vitara Brezza VDi,2017,750000,32077
Toyota Yaris G,2018,850000,19107
Hyundai EON Era Plus Option,2017,315000,18469
Maruti Swift LXI Option,2015,415000,28217
Maruti Ciaz ZDi Plus,2016,640000,72787
Maruti Ciaz 1.4 Alpha,2017,780000,31063
Toyota Fortuner 4x2 AT,2017,2595000,79641
Hyundai Creta 1.6 CRDi SX,2015,850000,58692
Hyundai Creta 1.6 CRDi SX,2015,900000,54784
Toyota Corolla Altis GL MT,2016,1150000,64156
Maruti Esteem Lxi - BSIII,2007,75000,54000
Volkswagen Vento Diesel Comfortline,2012,215000,97000
Maruti SX4 ZXI AT,2009,130000,120000
Hyundai Santro Magna AMT BSIV,2019,400000,16000
Maruti Swift Dzire AMT ZXI,2019,550000,60000
Chevrolet Beat LT,2016,245000,52000
Maruti Swift VDI BSIV,2010,320000,110000
Mahindra TUV 300 T8 AMT,2016,730000,60000
Ford Fusion 1.6 Duratec Petrol,2005,120000,100000
Honda City i-VTEC VX,2017,950000,35000
Maruti Wagon R VXI BS IV,2017,350000,48000
Maruti Esteem Vxi,2005,100000,20000
Maruti Wagon R VXI BS IV,2017,350000,30000
Maruti Wagon R VXI BSIII,2005,80000,40000
